"subj","stimulustype","item","condition","sentence","response","rt","order","CorrectResponse","Grammaticality","Attractor","Accuracy"
"28","Filler",135,0,"The nurse saw that the soldiers never were","f",0.896994113922,2,"f","Grammatical","NA",1
"28","Filler",118,0,"The mechanic insists that the brake still were","j",1.43017411232,4,"j","Ungrammatical","NA",1
"28","Filler",120,0,"The camper knows that the cabin usually were","f",1.0645339489,6,"j","Ungrammatical","NA",0
"28","Filler",100,0,"The crew cleans the plane that the pilots expertly are","f",1.56493806839,8,"f","Grammatical","NA",1
"28","Filler",62,0,"The sailor and the captain usually is ","j",0.980121135712,10,"j","Ungrammatical","NA",1
"28","Filler",129,0,"The chimney sweep found that the bricks often are","f",0.897895097733,11,"f","Grammatical","NA",1
"28","Filler",78,0,"The cash and the check likely have","f",0.830373048782,13,"f","Grammatical","NA",1
"28","Filler",113,0,"The diplomat believes that the guard probably are","f",1.31582188606,15,"j","Ungrammatical","NA",0
"28","Filler",67,0,"The guitar and the amplifier really was","f",1.16492009163,16,"j","Ungrammatical","NA",0
"28","Filler",92,0,"The teenager hates the tourists that the city usually are","j",1.19808697701,18,"j","Ungrammatical","NA",1
"28","Filler",122,0,"The astronaut thinks that the engine never have","j",1.06480503082,19,"j","Ungrammatical","NA",1
"28","Filler",133,0,"The professor reported that the students always were ","f",1.04892015457,20,"f","Grammatical","NA",1
"28","Filler",71,0,"The fireman and the cop usually are","f",1.08124279976,22,"f","Grammatical","NA",1
"28","Filler",123,0,"The salesman knows that the customer usually have","f",0.948628902435,23,"j","Ungrammatical","NA",0
"28","Filler",115,0,"The nurse knows that the treatment probably are","f",0.764410018921,25,"j","Ungrammatical","NA",0
"28","Filler",70,0,"The jersey and the glove probably has","f",1.56527304649,27,"j","Ungrammatical","NA",0
"28","Filler",82,0,"The raccoon dug up the rose bush that the gardener usually are","f",1.2820930481,29,"j","Ungrammatical","NA",0
"28","Filler",111,0,"The owner claimed that the restaurant often are","j",1.18129491806,31,"j","Ungrammatical","NA",1
"28","Filler",103,0,"The butler checked the window that the maids always were","f",1.29891204834,32,"f","Grammatical","NA",1
"28","Filler",85,0,"The dad hated the story that the child really were","j",0.947398900986,34,"j","Ungrammatical","NA",1
"28","Filler",137,0,"The analyst discovered that the accountants sometimes have","f",0.72945690155,36,"f","Grammatical","NA",1
"28","Filler",128,0,"The bus driver worries that the breaks frequently are ","f",1.08234000206,37,"f","Grammatical","NA",1
"28","Filler",121,0,"The mayor knows that the sheriff often have ","j",0.997945070267,38,"j","Ungrammatical","NA",1
"28","Filler",106,0,"The billionaire tips the apprentice that the tailors usually have","f",0.897793054581,39,"f","Grammatical","NA",1
"28","Filler",74,0,"The coffee and the muffin never are","f",1.43168401718,41,"f","Grammatical","NA",1
"28","Filler",134,0,"The principal discovered that the teachers never were","f",0.66509604454,42,"f","Grammatical","NA",1
"28","Filler",99,0,"The shelf holds the phone book that the secretaries often are","f",1.01491618156,43,"f","Grammatical","NA",1
"28","Filler",96,0,"The camera filmed the line that the runners quickly are","f",1.03059911728,45,"f","Grammatical","NA",1
"28","Filler",93,0,"The landlord fixes the leaks that the pipe repeatedly are","j",1.46515798569,47,"j","Ungrammatical","NA",1
"28","Filler",124,0,"The technician found that the laboratory never have","j",1.36506104469,49,"j","Ungrammatical","NA",1
"28","Filler",102,0,"The photographer captured the tree that the flowers beautifully were","f",1.09727811813,51,"f","Grammatical","NA",1
"28","Filler",138,0,"The manager reported that the contracts probably have","f",1.04867482185,53,"f","Grammatical","NA",1
"28","Filler",139,0,"The janitor knows that the offices quickly have","f",1.215102911,55,"f","Grammatical","NA",1
"28","Filler",107,0,"The editor rejects the titles that the journalists regularly have","f",1.29841804504,57,"f","Grammatical","NA",1
"28","Filler",77,0,"The microphone and the guitar loudly were","f",0.880198955536,59,"f","Grammatical","NA",1
"28","Filler",83,0,"The girl rode the elephant that the zookeeper carefully are","j",0.730008125305,61,"j","Ungrammatical","NA",1
"28","Filler",117,0,"The chef knows that the dish probably were","f",0.680620193481,63,"j","Ungrammatical","NA",0
"28","Filler",140,0,"The lawyer said that the clients frequently have","f",0.647391796112,65,"f","Grammatical","NA",1
"28","Filler",110,0,"The nurse loves the decorations that the residents always have","f",0.463461875916,67,"f","Grammatical","NA",1
"28","Filler",84,0,"The crowd likes the movie that the theater always were","j",1.04811096191,69,"j","Ungrammatical","NA",1
"28","Filler",91,0,"The committee awards the building that the architect truly have","f",0.982573986053,71,"j","Ungrammatical","NA",0
"28","Filler",61,0,"The dog and the cat always is","j",0.966002941132,72,"j","Ungrammatical","NA",1
"28","Filler",136,0,"The reporter knows that the spies often have","f",0.765455961227,74,"f","Grammatical","NA",1
"28","Filler",130,0,"The model accepted that the shoes never are","f",0.764111042023,76,"f","Grammatical","NA",1
"28","Filler",127,0,"The stewardess knows that the pilots always are","f",0.831562995911,78,"f","Grammatical","NA",1
"28","Filler",80,0,"The desk and the bookshelf always have","f",1.09886693954,80,"f","Grammatical","NA",1
"28","Filler",69,0,"The thesaurus and the dictionary frequently has","f",0.730931997299,82,"j","Ungrammatical","NA",0
"28","Filler",97,0,"The clock shows the time that the athletes amazingly are","f",1.1646270752,84,"f","Grammatical","NA",1
"28","Filler",86,0,"The man fixed the leash that the dog aggressively were","j",0.948529958725,86,"j","Ungrammatical","NA",1
"28","Filler",105,0,"The electrician lost the hammer that the carpenters always were","f",1.23087310791,88,"f","Grammatical","NA",1
"28","Filler",90,0,"The magazine publishes the essays that the editor wrongly have","j",0.680526971817,90,"j","Ungrammatical","NA",1
"28","Filler",94,0,"The worker replaces the light that the tenant always were","f",0.94927406311,91,"j","Ungrammatical","NA",0
"28","Filler",114,0,"The repairman said that the refrigerator still are","j",1.64964795113,92,"j","Ungrammatical","NA",1
"28","Filler",81,0,"The teacher supports the student that the principal usually are","j",1.31461691856,94,"j","Ungrammatical","NA",1
"28","Filler",109,0,"The doctor caught the flu that the shots supposedly have","j",1.01468205452,96,"f","Grammatical","NA",0
"28","Filler",75,0,"The camera and the lens definitely were ","f",0.681164979935,98,"f","Grammatical","NA",1
"28","Filler",98,0,"The waiter brought the meal that the boys apparently are","f",1.03119301796,100,"f","Grammatical","NA",1
"28","Filler",119,0,"The lumberjack loves that the chainsaw never were","j",0.848604917526,102,"j","Ungrammatical","NA",1
"28","Filler",89,0,"The cat lost the toy that the kid always have ","j",0.864542961121,104,"j","Ungrammatical","NA",1
"28","Filler",95,0,"The critic praised the restaurant that the celebrity really have","j",0.830353021622,106,"j","Ungrammatical","NA",1
"28","Filler",76,0,"The picture and the frame apparently were","f",0.881376981735,108,"f","Grammatical","NA",1
"28","Filler",64,0,"The computer and the printer often is","j",0.747442007065,110,"j","Ungrammatical","NA",1
"28","Filler",68,0,"The book and the magazine never has","j",1.13140106201,111,"j","Ungrammatical","NA",1
"28","Filler",132,0,"The captain knows that the sailors often were","f",0.71475815773,113,"f","Grammatical","NA",1
"28","Filler",126,0,"The pilot thinks that the passengers usually are","f",0.449220180511,114,"f","Grammatical","NA",1
"28","Filler",125,0,"The boss insists that the secretary always have","f",0.7473320961,116,"j","Ungrammatical","NA",0
"28","Filler",108,0,"The captain releases the whales that the fishermen sometimes have","f",1.23181796074,117,"f","Grammatical","NA",1
"28","Filler",66,0,"The tailor and the customer cheerily was","j",1.48243999481,119,"j","Ungrammatical","NA",1
"28","Filler",63,0,"The chair and the desk frequently is","j",0.830758094788,121,"j","Ungrammatical","NA",1
"28","Filler",79,0,"The folder and the file apparently have","f",0.530009031296,122,"f","Grammatical","NA",1
"28","Filler",112,0,"The teacher said that the student tentatively are","f",0.697690963745,124,"j","Ungrammatical","NA",0
"28","Filler",73,0,"The chainsaw and the lawnmower frequently are","f",0.630907058716,125,"f","Grammatical","NA",1
"28","Filler",87,0,"The mother sewed the shirt that the boy deeply were ","j",1.13207006454,127,"j","Ungrammatical","NA",1
"28","Filler",131,0,"The novelist wrote that the characters suddenly were","f",0.564614057541,128,"f","Grammatical","NA",1
"28","Filler",72,0,"The executioner and the victim never are","f",0.447929143906,130,"f","Grammatical","NA",1
"28","Filler",101,0,"The book describes the war that the citizens sadly were","f",0.563107013702,132,"f","Grammatical","NA",1
"28","Filler",88,0,"The cop sips the coffee that the waitress carefully have","j",0.982536077499,134,"j","Ungrammatical","NA",1
"28","Filler",116,0,"The thief thinks that the window likely were","f",0.748686075211,136,"j","Ungrammatical","NA",0
"28","Filler",104,0,"The crowd cheered the player that the coaches apparently were","f",0.513865947723,138,"f","Grammatical","NA",1
"28","Filler",65,0,"The tyrant and the queen suddenly was","j",1.14772987366,140,"j","Ungrammatical","NA",1
"29","Filler",135,0,"The nurse saw that the soldiers never were","f",0.965205907822,2,"f","Grammatical","NA",1
